zcta19,year,avg_download_speed,avg_upload_speed,tot_hs_providers,res_hs_providers
31549,2020,80.21988,5.206348,1,1
31550,2020,18.76567,2.160596,0,0
31551,2020,32.8166,3.406693,0,0
31552,2020,20.85466,3.76388,1,1
31553,2020,39.78685,24.06175,1,1
31554,2020,72.70694,6.393762,2,2
31555,2020,84.15853,11.27279,1,1
31556,2020,31.74286,3.46,0,0
31557,2020,30.12527,3.620269,1,1
31558,2020,235.8293,48.02162,4,4
31560,2020,81.51343,15.56436,1,1
31561,2020,164.4961,14.85053,2,2
31562,2020,39.00948,10.30568,0,0
31563,2020,29.2076,12.38384,1,1
31565,2020,41.30537,20.94827,4,4
31566,2020,39.62311,23.02481,1,1
31567,2020,98.28791,19.58576,2,2
31568,2020,33.63985,8.967083,1,1
31569,2020,43.4421,11.92182,3,3
31601,2020,200.0268,44.22828,5,5
31602,2020,231.4177,46.68174,5,5
31605,2020,196.2211,65.63836,4,4
31606,2020,123.6373,6.52229,2,2
31620,2020,171.195,48.45214,2,2
31622,2020,110.5143,22.7098,1,1
31623,2020,45.38776,30.53951,0,0
31624,2020,22.64018,4.884918,0,0
31625,2020,47.68882,15.47341,0,0
31626,2020,44.43193,13.61999,0,0
31627,2020,196.4184,29.69152,1,1
31629,2020,42.83128,13.58899,0,0
31630,2020,26.61076,8.371819,0,0
31631,2020,27.45701,5.983463,0,0
31632,2020,188.6936,46.08128,3,3
31634,2020,34.02025,15.51216,3,3
31635,2020,175.4995,56.54998,3,3
31636,2020,36.46479,2.201881,1,1
31637,2020,107.9786,10.96696,1,1
31638,2020,53.6302,20.9949,0,0
31639,2020,167.4602,56.95362,3,3
31641,2020,92.51208,11.02957,2,2
31642,2020,101.9394,7.344488,1,1
31643,2020,117.7791,53.9291,4,4
31645,2020,150.7049,28.54457,2,2
31647,2020,104.5508,6.614318,2,2
31648,2020,18.80272,2.042231,0,0
31649,2020,49.14191,8.79928,1,1
31650,2020,119.3415,10.05091,2,2
31698,2020,216.1818,97.80727,2,2
31699,2020,38.67176,2.286168,1,1
31701,2020,207.5351,56.89953,4,4
31705,2020,171.7127,18.7428,2,2
31707,2020,241.2949,66.18821,3,3
31709,2020,141.5109,8.196855,2,2
31711,2020,25.42179,6.054271,1,1
31712,2020,21.30123,4.39965,1,1
31714,2020,103.6256,12.40035,2,2
31716,2020,36.02387,2.248346,0,0
31719,2020,134.9918,7.851042,2,2
31720,2020,63.99422,26.74687,1,1
31721,2020,155.4613,16.69206,3,3
31722,2020,49.77852,18.49399,0,0
31730,2020,105.0805,5.79392,2,2
31733,2020,45.39212,4.974048,1,1
31735,2020,28.00535,3.522995,0,0
31738,2020,53.02806,20.11276,0,0
31743,2020,20.11013,2.314978,0,0
31744,2020,42.84592,9.955124,1,1
31747,2020,72.37705,26.83607,1,1
31749,2020,132.0317,21.37517,2,2
31750,2020,137.2096,32.70393,3,3
31756,2020,55.21246,14.4143,1,1
31757,2020,140.2891,14.78413,2,2
31763,2020,145.5119,14.59883,4,4
31764,2020,19.31392,2.265185,0,0
31765,2020,95.7478,12.85805,1,1
31768,2020,234.418,107.3243,3,3
31771,2020,71.70139,22.48086,2,2
31772,2020,36.15487,2.315929,0,0
31773,2020,48.8507,13.65686,2,2
31774,2020,119.5296,37.04689,2,2
31775,2020,121.571,7.122994,1,1
31778,2020,47.4721,17.87201,0,0
31779,2020,111.1346,7.350076,2,2
31780,2020,20.73127,2.271348,1,1
31781,2020,130.89,6.948477,1,1
31783,2020,30.56758,7.402824,0,0
31784,2020,39.0361,2.300505,0,0
31787,2020,23.04189,2.508209,1,1
31788,2020,145.5638,56.0207,2,2
31789,2020,87.20478,4.701638,1,1
31790,2020,86.71081,13.2785,1,1
31791,2020,132.3373,7.050427,2,2
31792,2020,170.5469,48.52654,3,3
31793,2020,127.6099,10.61537,1,1
31794,2020,145.4238,14.17957,1,1
31795,2020,98.05596,5.37841,1,1
31796,2020,27.82425,2.854657,0,0
31798,2020,25.2962,5.149515,1,1
31801,2020,21.73614,5.158577,0,0
31803,2020,27.44668,9.82162,3,3
31804,2020,190.098,13.36726,4,4
31805,2020,18.5751,2.026402,1,1
31806,2020,86.40723,14.84099,2,2
31807,2020,151.596,22.64733,2,2
31808,2020,223.9951,17.31227,4,4
31810,2020,21.16667,3.382,0,0
31811,2020,136.6517,8.981114,5,5
31812,2020,21.40416,3.132188,0,0
31814,2020,20.03478,2.341148,0,0
31815,2020,19.48295,2.214854,0,0
31816,2020,169.3054,16.62799,1,1
31820,2020,195.7596,33.98734,3,3
31821,2020,21.11667,2.445767,0,0
31822,2020,143.5155,13.04236,2,2
31823,2020,219.7581,9.371581,1,1
31824,2020,27.18056,9.327595,0,0
31825,2020,18.1286,2.052126,0,0
31826,2020,106.0559,10.12593,1,1
31827,2020,92.33753,5.634077,2,2
31829,2020,171.346,33.1172,2,2
31830,2020,113.4503,11.6456,1,1
31831,2020,123.8737,8.435394,3,3
31832,2020,28.25628,11.52012,0,0
31833,2020,278.4346,13.60846,3,3
31836,2020,115.9057,16.87493,1,1
31901,2020,358.1711,31.78752,5,5
31903,2020,391.25,41.58524,5,5
31904,2020,391.0803,28.34172,5,5
31905,2020,178.7776,8.02082,3,3
31906,2020,413.7843,48.68737,4,4
31907,2020,408.7652,65.59246,5,5
31909,2020,378.7823,49.50123,5,5
32003,2020,146.5964,34.34304,2,2
32008,2020,74.35833,40.45174,1,1
32009,2020,66.69077,14.91921,2,2
32011,2020,154.1168,41.74021,2,2
32024,2020,117.1848,10.28432,2,2
32025,2020,143.1232,6.637736,1,1
32026,2020,42.33333,2.433333,0,0
32033,2020,125.6006,39.03284,3,3
32034,2020,180.7415,38.98329,2,2
32038,2020,50.10672,16.25662,2,2
32040,2020,136.2176,5.710404,1,1
32043,2020,127.4442,20.0051,2,2
32044,2020,43.75842,10.98852,0,0
32046,2020,123.9444,36.09315,2,2
32052,2020,79.89207,46.36613,1,1
32053,2020,51.60159,18.65649,1,1
32054,2020,52.41133,17.85234,2,2
32055,2020,127.3507,6.989397,2,2
32058,2020,39.66476,2.772727,0,0
32059,2020,40.11824,3.010503,1,1
32060,2020,75.17021,25.85231,2,2
32061,2020,41.37013,2.381766,0,0
32062,2020,42.4125,11.89314,0,0
32063,2020,164.7911,7.20644,2,2
32064,2020,269.9976,106.3528,2,2
32065,2020,176.9133,38.10297,2,2
32066,2020,48.11965,13.21859,2,2
32068,2020,180.5356,44.3555,2,2
32071,2020,46.92273,13.68113,2,2
