GEO_ID,NAME,C15002I_001E,C15002I_001M,C15002I_002E,C15002I_002M,C15002I_003E,C15002I_003M,C15002I_004E,C15002I_004M,C15002I_005E,C15002I_005M,C15002I_006E,C15002I_006M,C15002I_007E,C15002I_007M,C15002I_008E,C15002I_008M,C15002I_009E,C15002I_009M,C15002I_010E,C15002I_010M,C15002I_011E,C15002I_011M,
860Z200US36088,ZCTA5 36088,6,12,0,13,0,13,0,13,0,13,0,13,6,12,0,13,0,13,0,13,6,12,
860Z200US36089,ZCTA5 36089,466,73,224,68,224,68,0,18,0,18,0,18,242,76,138,118,104,115,0,18,0,18,
860Z200US36091,ZCTA5 36091,57,102,39,68,0,13,39,68,0,13,0,13,18,48,18,48,0,13,0,13,0,13,
860Z200US36092,ZCTA5 36092,312,225,199,125,89,90,110,84,0,24,0,24,113,117,91,96,22,28,0,24,0,24,
860Z200US36093,ZCTA5 36093,241,179,79,64,52,54,0,20,6,11,21,36,162,148,149,147,0,20,0,20,13,24,
860Z200US36101,ZCTA5 36101,10,20,10,20,0,13,10,20,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36104,ZCTA5 36104,142,105,101,90,8,15,11,17,64,93,18,20,41,49,0,20,0,20,33,48,8,12,
860Z200US36105,ZCTA5 36105,46,60,25,39,25,39,0,18,0,18,0,18,21,26,21,26,0,18,0,18,0,18,
860Z200US36106,ZCTA5 36106,220,140,144,106,52,48,72,83,0,20,20,26,76,58,0,20,51,47,13,16,12,17,
860Z200US36107,ZCTA5 36107,327,146,222,109,124,82,16,27,74,69,8,12,105,57,97,57,8,13,0,18,0,18,
860Z200US36108,ZCTA5 36108,377,143,181,99,78,70,99,76,0,20,4,6,196,79,36,36,59,59,95,58,6,9,
860Z200US36109,ZCTA5 36109,511,163,246,136,94,66,104,89,43,41,5,12,265,90,67,35,14,21,38,38,146,90,
860Z200US36110,ZCTA5 36110,88,60,40,33,34,32,0,20,6,9,0,20,48,36,4,8,7,14,37,32,0,20,
860Z200US36111,ZCTA5 36111,68,74,38,39,0,20,0,20,0,20,38,39,30,37,0,20,0,20,0,20,30,37,
860Z200US36112,ZCTA5 36112,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36113,ZCTA5 36113,105,48,95,48,9,16,59,27,23,27,4,5,10,6,0,13,3,4,1,2,6,5,
860Z200US36114,ZCTA5 36114,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,
860Z200US36115,ZCTA5 36115,78,39,42,22,0,13,0,13,30,20,12,15,36,27,0,13,9,13,14,14,13,14,
860Z200US36116,ZCTA5 36116,552,230,212,121,70,68,10,15,117,99,15,22,340,169,129,83,15,25,120,81,76,61,
